date,open,high,low,close,volume
2017-01-03,46.427,46.4859,45.3027,45.4647,6737752
2017-01-04,45.7887,46.5792,45.5138,45.8575,5859604
2017-01-05,45.6807,46.0833,44.7871,45.0621,6825316
2017-01-06,45.0228,45.8771,44.6497,45.3763,7260197
2017-01-09,45.1799,46.4859,44.9541,46.2306,4739142
2017-01-10,46.1521,47.6348,46.1226,47.6054,7483764
2017-01-11,48.4007,48.9997,47.2322,47.7625,6925770
2017-01-12,47.7919,48.116,45.9949,47.2322,5448098
2017-01-13,47.2911,47.5563,46.6823,46.7903,3541980
2017-01-17,46.702,46.8885,45.828,45.9066,5350794
2017-01-18,46.5388,46.9376,45.8084,46.7805,5176524
2017-01-19,46.7805,47.2224,46.0342,46.4074,3729315
2017-01-20,46.6823,47.2911,46.3877,47.134,5611793
2017-01-23,47.0358,47.2224,45.9066,46.0931,4284196
2017-01-24,46.2012,46.9376,45.9557,46.6823,4926677
2017-01-25,47.0358,47.3402,46.7511,47.0456,5139002
2017-01-26,47.5563,48.8132,47.4581,48.6953,10332849
2017-01-27,49.0979,49.0979,45.8771,46.103,19411050
2017-01-30,44.797,45.0915,43.0687,44.0899,16786050
2017-01-31,43.9819,44.031,42.9528,43.4517,11719842
2017-02-01,43.9427,44.1881,43.1178,43.2553,7955513
2017-02-02,42.8232,43.7168,42.7839,43.216,7607665
2017-02-03,43.5106,43.7463,42.9732,43.4026,6357916
2017-02-06,43.9918,44.7773,43.9328,44.4827,6496054
2017-02-07,44.9246,45.2978,44.198,44.3551,6119960
2017-02-08,44.4435,44.4435,43.707,44.2471,4330414
2017-02-09,44.3553,45.8601,44.2274,45.5658,7089902
2017-02-10,45.8807,45.9595,45.4379,45.7134,4040567
2017-02-13,45.8217,47.0223,45.7626,46.6582,6158580
2017-02-14,46.5106,46.5303,45.7134,45.8315,6271654
2017-02-15,46.8353,47.288,46.1858,46.7861,8394814
2017-02-16,46.7468,46.8944,45.9201,46.2252,5681810
2017-02-17,46.0874,46.3531,45.6937,46.1661,4581604
